text;label
встреча гостей;0
бронирование;1
прием телефонных звонков сообщений в соц сетях;1
обеспечение хозяйственной деятельности 4 субъектов по городу;0
заключение договоров на обслуживание;0
контроль обслуживающего персонала;0
организация процесса закупки материалов;0
снабжение всем необходимым и материальная отчетность перед вышестоящим руководством;0
знание синтаксиса языков javascript typescript;0
базовые знания принципов работы web;0
желание работать в команде и развиваться;0
оформление пакета перевозочных документов на перевозку грузов железнодорожным транспортом грузоотправителем которых выступает ооо «нхтк»;0
раскредитование документов на вагоны прибывших в адрес ооо «нхтк»;0
выгрузка паспортных данных на прибывшие и раскредитованные вагоны;1
печать накладных для предварительного таможенного декларирования;1
передача диспетчеру по отгрузке документов на грузы прибывшие в адрес компании;0
осуществлять бронирование расчет стоимости продажу переоформление и возврат перевозочных документов продажу дополнительных услуг оформлять перевозочную документацию с использованием контрольнокассовой техники;1
предоставлять пассажирам информацию относительно маршрута перелета условий применения тарифа;1
осуществление переноса денежных средств;0
возврат денежных средств;0
сверка данных о принятых платежах;1
урегулирование разногласий с платежными агентами по принятым от населения и перечисленным обществом платежам;0
формирование отчетности в части оборота денежных средств;1
производство расчёта сумм перечисления денежных средств;1
подготовкам и направление писем в адрес потребителей;1
распределение платежей по банковским выпискам проведение сверки с контрагентами;1
работа в электронной системе документооборота;1
контроль за правильностью оформления документов;1
обработка документов в автоматизированной системе документооборота регистрация входящей исходящей внутренней корреспонденции;1
 контроль исполнительской дисциплины сотрудников ;0
 прием входящих звонков ;0
 выполнение отдельных служебных поручения начальника отдела документационного обеспечения ;0
 выполнение должностных обязанностей отсутствующего работника на период больничногоотпуска ;0
встреча гостей;0
консультация и продажа по имеющимся услугам и программам;1
регистрация в нашей бонусной системе;1
контроль за обеспечением чистоты и порядка в салоне и на прилегающей территории;0
создание комфортных условий при посещении салона для гостей;0
контроль за соблюдением и выполнением должностных инструкций сотрудниками;1
отчетность;1
перевозка сотрудников с объекта на объект;0
выполнение поручений руководителя;0
поддержание и контроль технического состояния и внешнего вида автомобиля;0
работа с путевыми листами;0
вести журнал посещения;1
строго соблюдать кассовую дисциплину в том числе вести книгу учетарасхода принятых денежных средств;1
 подготовка необходимых справок и докладов по документации организации ;1
 участие в описи документов ;0
 ведение подготовительной работы с документами необходимыми для руководства ;1
 заполнение реестра пациентов в программе 1с медицина формирование реестра для сдачи в тфомс формирование счетов с смо ;1
прием товара отправка готовой продукции контроль сроков хранения санитарной контроль знание компьютера заполнение документов знание программы меркурий знание складского учета;0
приёмка товара по ассортименту и количеству погрузка товара в фургон развоз товара по пвз 1015 точек в день материальная ответственность за сохранность товара ответственность за техническое состояние автомобиля;0
обработка поступающих заявок в соцсетях;1
консультация клиентов по готовым шаблонам и заполнение документов по образцу;1
составление отчётов;1
осуществление приема и контроля первичных документов по учету тмц перемещение списание ввод в эксплуатацию поступление;1
учет спецодежды гсм;0
отражение в регистрах бу операций по поступлению тмц перемещений тмц передаче подрядным организациям материалов;0
квалификация поступивших материалов в соответствии с федеральными стандартами бухгалтерского учета;1
осуществлять сверку взаиморасчетов с контрагентами а также сверку с подрядными организациями по переданным тмц в давал;0
контроль и проверка дебиторской и кредиторской задолженности;1
оформление проверка и отражение инвентаризации активов и обязательств общества;0
подготовка документации по сделанный шаблонам;1
ведения графика работ для подготовки документации;1
подписание документов с клиентами в офисе компании;1
поддержания порядка в документации и офисе;0
заключение договоров на коммунальные услуги;0
заключение договоров по п4 ст 93 фз №44фз;0
пополнение отдела товаром выкладка товара на стеллажи;0
обеспечение правильного складирования товара в отделе;0
перемещение товара со склада в торговый зал;0
ведение документооборота учреждения архива;1
учет регистрация и распределение входящей и исходящей документации;1
прием и выдача документов курьерским службам;1
подготовка документов к архивному хранению;1
ведение электронной базы документов;0
доставка корреспонденции в отделение связи суды налоговые органы судебным приставам;0
компьютерное управление автоматической сварочной установкой;0
контроль и мероприятия на водоемах по укреплению правопорядка оказание помощи терпящим бедствие на воде несение дежурства на спасательном посту контроль готовности спасательных средств;0
 выполнять погрузку и разгрузку сортировку материалов ;0
 выполнять уход за газоном поливка прополка ;0
 выполнять устройство малых архитектурных форм ;0
открытиезакрытие лицевых счетов;0
формирование отчетности по незаселенному жилому фонду;1
подготовка запросов в администрации муниципальных образований;0
подготовка ответов на запросы юридических лиц;0
встреча гостей;0
консультирование гостей по услугам;1
помощь администратору;0
поддержание чистоты и уютной обстановки;0
соблюдение внутренних правил компании;0
административная поддержка офиса и руководителя ;0
ведение документооборота;1
организация приема посетителей и телефонных звонков;0
жизнеобеспечение офиса закупка канцтоваров расходных материалов и иных тмц;0
осуществление приема и контроля документов подтверждающих отгрузку нефтепродуктов;0
подготовка группировка сшивка первичных документов;1
контроль возврата подписанных 2х экземпляров от контрагентов;0
участие при подготовке документов по запросам руководства и прочих служб в рамках налоговых и прочих проверок;1
выполнение курьерских обязанностей по распоряжению руководителей;0
архивация документов;1
осуществление функции водителя генерального директора на личном автомобиле;0
поддержание транспортного средства в чистоте и исправном техническом состоянии;0
своевременная подача автомобиля и составление оптимальных маршрутов;0
выдавать заказы и консультировать клиентов;0
работать с кассой и сопутствующими документами открыватьзакрывать смены;0
поддерживать рабочее место в чистоте;0
выдача справок сотрудникам по требованию;1
консультирование работников;1
разработка frontend слоя для внутренних сервисов компании;0
продумывание uiux составляющей приложения;0
прием посетителей;0
прием телефонных звонков;1
ведение делопроизводства регистрация входящей и исходящей корреспонденции копирование документов отправка почтой рф;1
прием первичных кадровых документов соискателей копирование и др;1
протоколирование;1
 оприходование запасных частей и услуг ;0
 сверка расчетов с контрагентами ;0
 списание тмц ;0
 авансовые отчёты ;0
 сверка расчетов с контрагентами ;0
 банк  операции по расчётному счёту ;0
 осуществление и строгий контроль за соблюдением сроков подготовки приказов по вопросам стипендиального обеспечения ;0
 организация и проведение плановых мероприятий по работе с обучающимися в сфере стипендиального и социального обеспечения ;0
 подготовка статистических отчетов справок и материалов информационноаналитического характера ;1
 подготовка ответов на запросы юридических и физических лиц в рамках своей деятельности ;0
 оформление документов по закупкам по профилю деятельности ;1
 сопровождение учебного процесса в соотвествии с норативными актами сопровождение оценки текущей успеваемости и промежуточной аттестации учет индивидуальных результатов учебных достижений обучающихся контроль за реализацией учебного процесса организация перезачета индивидуальных результатов обучения ;0
продажа цветочной и сувенирной продукции оформление букетов составление композиций;0
администрирование личных кабинетов на маркетплейсах;1
взаимодействие с менеджерами компании по товару логистике;0
мониторинг изменений правил на маркетплейсах;1
анализ рынка товаров и продаж цен относительно конкурентов;1
анализ отзывов о товарах и их влияние на продажи;1
продвигать и развивать социальные сети 2 аккаунта инстаграм вк telegram;0
постоянный поиск новых вариантов для продвижения;0
создание контентплана и ежедневное наполнение соц сетей;0
настройка таргетной рекламы;0
производство и адаптация продающего контента;0
прием ценных грузов со склада сопровождение груза до места назначения;0
обеспечение необходимого режима хранения и сохранности грузов при транспортировке;0
оформление приемо  сдаточной документации при необходимости участие в составлении актов на недостачу порчу грузов и других документов;1
соблюдение правил внутреннего трудового распорядка и норм охраны труда техники безопасности и противопожарной защиты;0
 планирование рабочего дня руководителя назначение встреч приготовление чая  кофе ;0
 выполнение личных поручений вашего менеджера ;0
 документационное сопровождение работы вашего менеджера подготовка документов к подписанию ;1
 уборка офиса и мест общего пользования ;0
 прием входящих звонков передача сообщений по мере необходимости ;1
 подготовка исходящей почты в том числе больших пакетов для отправки ;1
 сортировка и доставление входящей почты соответствующим лицам ;1
 управление файловой системой ;1
 запись информации по мере необходимости ;1
 приветствие арендаторов клиентов и посетителей приготовление чая  кофе ;0
 обновление документов ведение документов и обработка текстов ;1
 поддержание товарноматериальных запасов офиса ;0
 обслуживание оргтехники по мере необходимости ;0
 создание поддержка и ввод информации в базы данных ;0
выдача заказов;0
прием и раскладка товара на складе;0
прием и оформление возвратов;0
проверка товара на брак;0
уборка и поддержание чистоты в пункте выдачи;0
инвентаризация раз в месяц;0
обеспечение высокого уровня сервиса клиентам клуба;0
полное руководство подразделением рецепции клуба;0
исходящие звонки по теплой базе клиентов клуба;0
назначение стартовых и персональных тренировок;0
консультирование клиентов по возможности получения услуг клуба;1
работа с жалобами клиентов;0
работа в crm отчетность;1
соблюдение бизнеспроцессов технологий продаж и стандартов сервиса;0
 встреча пациентов клиники ;0
 оформление первичной медицинской документации ;1
 работа в тандеме с врачами клиники ;0
 решение конфликтных ситуаций ;0
 знание кассовой дисциплины ;0
 знание налогового и трудового законодательства а также законодательнонормативных актов касающихся расчета заработной платы ;0
 уверенный пользователь 1с ;0
 умение работать с большим объемом информации ;1
 способность работать с различными программами ;0
